date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1971-01-04,-1.0911182753050142,-1.0911182753050142,NA,NA,1971-01-03,-3.4940399195227734,0.7663290774483134,0.72,0.42,1971-01-01
1971-01-05,0.7105807239656592,0.7105807239656592,NA,NA,1971-01-03,-3.4940399195227734,0.7663290774483134,0.72,0.42,1971-01-01
1971-01-06,0.5973354682325294,0.5973354682325294,NA,NA,1971-01-03,-3.4940399195227734,0.7663290774483134,0.72,0.42,1971-01-01
1971-01-07,0.032478753938924854,0.032478753938924854,NA,NA,1971-01-03,-3.4940399195227734,0.7663290774483134,0.72,0.42,1971-01-01
1971-01-08,-0.205878602306786,-0.205878602306786,NA,NA,1971-01-03,-3.4940399195227734,0.7663290774483134,0.72,0.42,1971-01-01
1971-01-11,-0.22804917772658584,-0.22804917772658584,NA,NA,1971-01-10,-3.4940399195227734,0.7663290774483134,0.72,0.46,1971-01-01
1971-01-12,0.8013015089091802,0.8013015089091802,NA,NA,1971-01-10,-3.4940399195227734,0.7663290774483134,0.72,0.46,1971-01-01
1971-01-13,-0.1727148538840595,-0.1727148538840595,NA,NA,1971-01-10,-3.4940399195227734,0.7663290774483134,0.72,0.46,1971-01-01
1971-01-14,0.25896108419258823,0.25896108419258823,NA,NA,1971-01-10,-3.4940399195227734,0.7663290774483134,0.72,0.46,1971-01-01
1971-01-15,0.24753389115055313,0.24753389115055313,NA,NA,1971-01-10,-3.4940399195227734,0.7663290774483134,0.72,0.46,1971-01-01
1971-01-18,0.40764376754776066,0.40764376754776066,NA,NA,1971-01-17,-3.4940399195227734,0.7663290774483134,0.72,0.51,1971-01-01
1971-01-19,0.3739898453036794,0.3739898453036794,NA,NA,1971-01-17,-3.4940399195227734,0.7663290774483134,0.72,0.51,1971-01-01
1971-01-20,0.02132558384255745,0.02132558384255745,NA,NA,1971-01-17,-3.4940399195227734,0.7663290774483134,0.72,0.51,1971-01-01
1971-01-21,0.43624370702159965,0.43624370702159965,NA,NA,1971-01-17,-3.4940399195227734,0.7663290774483134,0.72,0.51,1971-01-01
1971-01-22,0.7298863562125391,0.7298863562125391,NA,NA,1971-01-17,-3.4940399195227734,0.7663290774483134,0.72,0.51,1971-01-01
1971-01-25,0.4207010921135179,0.4207010921135179,NA,NA,1971-01-24,-3.4940399195227734,0.7663290774483134,0.72,0.56,1971-01-01
1971-01-26,0.32482556786259664,0.32482556786259664,NA,NA,1971-01-24,-3.4940399195227734,0.7663290774483134,0.72,0.56,1971-01-01
1971-01-27,-0.7349854783139875,-0.7349854783139875,NA,NA,1971-01-24,-3.4940399195227734,0.7663290774483134,0.72,0.56,1971-01-01
1971-01-28,0.3366652347352783,0.3366652347352783,NA,NA,1971-01-24,-3.4940399195227734,0.7663290774483134,0.72,0.56,1971-01-01
1971-01-29,0.7012410482570175,0.7012410482570175,NA,NA,1971-01-24,-3.4940399195227734,0.7663290774483134,0.72,0.56,1971-01-01
1971-02-01,0.5616249957819619,0.5616249957819619,NA,NA,1971-01-31,-4.876281224590606,-0.19090277918256682,-0.12,0.61,1971-02-01
1971-02-02,0.010372828740123907,0.010372828740123907,NA,NA,1971-01-31,-4.876281224590606,-0.19090277918256682,-0.12,0.61,1971-02-01
1971-02-03,0.2071864442664939,0.2071864442664939,NA,NA,1971-01-31,-4.876281224590606,-0.19090277918256682,-0.12,0.61,1971-02-01
1971-02-04,-0.010343078922581128,-0.010343078922581128,NA,NA,1971-01-31,-4.876281224590606,-0.19090277918256682,-0.12,0.61,1971-02-01
1971-02-05,0.32032783287849753,0.32032783287849753,NA,NA,1971-01-31,-4.876281224590606,-0.19090277918256682,-0.12,0.61,1971-02-01
1971-02-08,0.5350326664034455,0.5350326664034455,NA,NA,1971-02-07,-4.876281224590606,-0.19090277918256682,-0.12,0.66,1971-02-01
1971-02-09,0.06155621891927865,0.06155621891927865,NA,NA,1971-02-07,-4.876281224590606,-0.19090277918256682,-0.12,0.66,1971-02-01
1971-02-10,-0.12314316526307323,-0.12314316526307323,NA,NA,1971-02-07,-4.876281224590606,-0.19090277918256682,-0.12,0.66,1971-02-01
1971-02-11,0.5325204514710968,0.5325204514710968,NA,NA,1971-02-07,-4.876281224590606,-0.19090277918256682,-0.12,0.66,1971-02-01
1971-02-12,0.5296905421295683,0.5296905421295683,NA,NA,1971-02-07,-4.876281224590606,-0.19090277918256682,-0.12,0.66,1971-02-01
1971-02-16,0.23340007077514713,0.23340007077514713,NA,NA,1971-02-14,-4.876281224590606,-0.19090277918256682,-0.12,0.7,1971-02-01
1971-02-17,-0.4673451538350193,-0.4673451538350193,NA,NA,1971-02-14,-4.876281224590606,-0.19090277918256682,-0.12,0.7,1971-02-01
1971-02-18,-0.6538631963007191,-0.6538631963007191,NA,NA,1971-02-14,-4.876281224590606,-0.19090277918256682,-0.12,0.7,1971-02-01
1971-02-19,-0.8440606126648653,-0.8440606126648653,NA,NA,1971-02-14,-4.876281224590606,-0.19090277918256682,-0.12,0.7,1971-02-01
1971-02-22,-1.0599673233555151,-0.9668952860252489,NA,NA,1971-02-21,-4.876281224590606,-0.19090277918256682,-0.12,0.74,1971-02-01
